id	filename	md5	size	state
3746f050-7275-426c-88e4-ba9f16e1c3ae	44ebe859-bc4f-40c1-bdb9-1fa970b680da.htseq.counts.gz	fa472b25ee2d954e578d5100801064b0	252966	released
3b7f6c6c-92dc-4741-8be7-efd8b0e21e4c	3f500570-271f-4da1-90d5-d60f353521e1.htseq.counts.gz	b61ea594eb3237a1dba76c595272ea43	252767	released
ec09eda0-0c17-4388-9241-ace3ddcbc804	ea8498cf-e0d1-4c68-8459-36aeeca9dd53.htseq.counts.gz	8bbbe6209126d6fc197e8e713776c23b	253921	released
2edb7e13-2356-4654-a324-6c032ec2acd4	47af78ae-c41a-401f-a88b-d7e35831f816.htseq.counts.gz	8986e6519934a343d7631cd5432844f8	253161	released
a71e6799-233c-4fba-b4dd-0e98c9b0a3dc	cf7e72eb-b82f-44c8-894c-3995571ffe81.htseq.counts.gz	f9d6d0ed652e52648fa62a74f27a8a04	251878	released
bcbf38d2-5a0b-4141-8474-7c2bad33c332	52fe6ec2-36d3-413b-81c7-b79870d74450.htseq.counts.gz	ea9adafc3131f65c5af2bcd50090d18a	248097	released
5270f081-d5d7-4283-a14e-19ffbf35ec57	528dfb33-8225-469d-bd57-d1c5ec8991bb.htseq.counts.gz	6914a8262cbbffb765058e7ffb7ccc5b	257628	released
06969b01-94f7-47c7-a9a7-97233c1eaced	dff9d818-892a-4695-b04b-857906906d26.htseq.counts.gz	75dcf7f35304759dd6f750d1faf1b98a	254249	released
3179153d-40c4-4905-ac71-4340d7c402ae	8eb08ef8-aaf4-4a18-b9f0-78540f02a8b7.htseq.counts.gz	0c1ede62ee3e59fb120d47d9175605f9	254184	released
64144fce-fce2-4100-8643-6b39e72b1302	1f26c527-17d1-4b5a-92ac-057f2411d67f.htseq.counts.gz	d120d7d6c69e940cae179e0ecc3cd0bc	250047	released
9e6bcba8-c964-484d-8b1c-7912209460d2	8b7009e8-9021-48d7-a603-3c6038635252.htseq.counts.gz	0d3568965fd5224d6f418a190037fe72	256438	released
42f2a6fa-cc9e-47fd-a94a-767f4fbe89cc	c3351663-44fc-40a7-b557-850a084648d9.htseq.counts.gz	f7882ab9a8c476dd1c8b19941779f8d2	259548	released
14b81a09-e392-4d23-b667-e5690e595a15	6e1f1d9f-85b3-4ed0-87f0-94aa404e1ca6.htseq.counts.gz	dd325a11e36e7a325e9c80a63814d742	250206	released
30bdadd0-e985-40ed-a789-52994571f0f4	48436ca7-2b7f-4615-9c88-8ede9398d11a.htseq.counts.gz	ac966055970c3d306304c507e3d54519	255117	released
1216fdbd-76aa-46a8-b5ee-5d1954677cd9	7487d66f-3ca5-4df9-ac9e-88f0af7838c3.htseq.counts.gz	afb3373ef79e4436a91ac88374a7ef8b	247293	released
53c31a8a-e207-41d8-9845-3e0d0a645ee8	f2fe0734-ec9d-4c91-9651-4d19d16be53c.htseq.counts.gz	84171df31bdfe6286b408f5478e8a884	254499	released
0c89fd7c-e65c-4278-ac91-18c4cf76748b	39ff3181-ab7a-4143-b23f-0d5ab109ff86.htseq.counts.gz	8c76fd1658ae635b4a6019baa4b9618c	252184	released
32eb0ddd-8bc4-4c64-91f8-ccdd84539688	f40edd33-8549-48a2-9fc7-a9313468b155.htseq.counts.gz	e71c8017bb4689b21785100b7e5d98f5	258870	released
00ea1e0e-85f8-4903-bc87-98167d07fb34	171a4828-984e-4225-b16c-c0bd6c319e06.htseq.counts.gz	5483f4886087e5023e5b2b5047324519	252463	released
783a1519-cad3-43bb-b6d7-3511e9646950	22d5f0c9-2f95-4a72-b8c6-d98c1bce07f7.htseq.counts.gz	f01938035e437e5aa34c575c60279a4c	255492	released
e0822da0-24d1-413a-b87f-5c6a242d3732	33dbd5a5-f760-491a-aef5-5ff8be13a8cd.htseq.counts.gz	358d89945590117c50f09320c7df68d6	255045	released
cac41f88-c25a-413d-9463-5fb3b8c38c57	0d604955-ce10-4fa9-ba8b-9417c5719653.htseq.counts.gz	846cc9f62750bbd26cef16189f1f0754	250171	released
19ac7f9a-051a-4d31-8bfa-f1a533f5d4f0	0d6bb28b-f5d1-4847-9aa9-bd58af1a7198.htseq.counts.gz	bb1cb865f4350dafbfd7cb0bb9e2e649	257806	released
bd11ea82-d346-449c-b63b-a9434062e9de	57e8b21e-eeb7-4f8e-a8b3-b6016bd37c96.htseq.counts.gz	288163918394a85bab334d64241d7940	253438	released
01ca4ce4-f8d0-4a72-99e2-9e88b820906b	a19e31ff-1afa-4e25-8c79-28b922052ff2.htseq.counts.gz	302dd1ab3cd7c470e6f6d8a2e47b8b81	250455	released
a54e73e4-3f7f-4e94-af69-2100045bf2ca	bceffa81-996d-4775-a452-23b31a25daf9.htseq.counts.gz	c11c235f72ff7fba9376b3abc676d2c2	254612	released
